Entry	EC number
P07118	6.1.1.9
P00954	6.1.1.2
P0A8L3	6.1.1.11
C4ZQ19	6.1.1.11
B1X833	6.1.1.11
P0A8L1	6.1.1.11
Q8X7E7	6.1.1.10
C4ZSJ8	6.1.1.10
B1X7K4	6.1.1.10
P00959	6.1.1.10
Q8X8W2	6.1.1.15
C4ZRT7	6.1.1.15
B1XD64	6.1.1.15
P16659	6.1.1.15
Q8XCH2	6.1.1.19
C4ZQG0	6.1.1.19
B1XHE4	6.1.1.19
P11875	6.1.1.19
P0AF96	
P30958	3.6.4.-
P37355	4.2.99.20
B1XC58	
P0AEZ7	4.2.2.n1
Q8XDG9	1.1.1.17
P0AD65	3.4.16.4
P76346	
P33934	
B1XA73	
P38489	1.-.-.-; 1.5.1.34
Q8X837	2.4.1.-
Q8X5U1	7.2.2.11
P0A925	3.1.3.27; 3.1.3.81; 3.1.3.4; 3.6.1.27
P16690	2.7.4.23
P16686	2.7.8.37
P08722	2.7.1.-
P42905	
P76469	4.1.2.53
Q7ABM8	
B1XCM6	
P08394	3.1.11.5
P07648	3.1.11.5
P66072	
P00579	
P0A8V2	2.7.7.6
P0AG67	
P0AGA4	
P30744	4.3.1.17
B1XG13	2.7.7.-; 2.7.7.n1
P05719	
P23173	
P62558	
C4ZUV3	2.9.1.3
B1XFT8	2.9.1.3
P0ACH3	
C4ZYA5	
B1XFV4	
P77468	
P0A905	
B1X6D7	
P19934	
P14497	
P33790	
P15069	
P14565	5.6.2.1; 3.6.4.12
P06626	
P41066	
P08321	
P0A857	
P10026	
C4ZWL5	
B1X6S1	
P0A855	
P24082	
P41068	
P18033	
P41065	
P09129	
P13979	
P18471	
P41069	
P18472	
P22709	
P06627	
P03749	
P0A851	5.2.1.8
C4ZTJ3	5.2.1.8
B1XFM4	5.2.1.8
Q7DB77	
P0A850	5.2.1.8
A5A627	
C4ZWK2	6.2.1.5
B1X6Q8	6.2.1.5
P07000	3.1.1.5
P16684	
P0AG16	2.4.2.14
P0A7E7	6.3.4.2
P76161	
P0AG42	2.7.1.26; 2.7.7.2
B1XEH8	
P15032	3.1.11.-
B1X7X6	2.8.4.4
P0AEV2	
P52108	
P18392	2.7.13.3
P75892	
Q8X510	2.1.1.172
P0ACM2	
P0AA45	5.4.99.19
B1XFI0	2.1.1.172
P0AA43	5.4.99.19
P0A768	7.-.-.-
C4ZY90	7.-.-.-
B1XF92	7.-.-.-
P0A766	7.-.-.-
P46850	6.5.1.8
P39406	2.1.1.172
P58323	7.-.-.-
C4ZY91	7.-.-.-
B1XF93	7.-.-.-
P77223	7.-.-.-
P58324	7.-.-.-
C4ZY92	7.-.-.-
B1XFU1	7.-.-.-
P77611	7.-.-.-
P0A6U7	2.1.1.170
C4ZZ18	2.1.1.170
B1X9W8	2.1.1.170
P0A6U5	2.1.1.170
P58325	7.-.-.-
C4ZY93	7.-.-.-
B1XFU2	7.-.-.-
P76182	7.-.-.-
P77179	7.-.-.-
P58344	7.-.-.-
C4ZY95	7.-.-.-
B1XFU4	7.-.-.-
P67088	2.1.1.198
P67087	2.1.1.198
P58345	7.-.-.-
P77285	7.-.-.-
P38035	
P0A809	3.6.4.12
P0A811	3.6.4.12
C4ZQE5	3.6.4.12
B1XHC9	3.6.4.12
Q8XA14	2.1.1.182
C4ZPX7	2.1.1.182
B1XC52	2.1.1.182
P06992	2.1.1.182
P0A816	3.1.21.10
B1X9H8	
P33937	1.9.6.1
P63022	
P20083	5.6.2.2
P58092	
P0ABF8	2.7.8.5
P02338	
C4ZQ04	2.1.1.199
P68568	2.1.1.242
P0AG86	
P0AGB0	3.1.3.3
P0AG14	3.4.21.-
P0ACS2	
P0AGD5	1.15.1.1
P60777	
P0ABW6	
P0AGC4	4.2.2.n1
P0AGC3	4.2.2.n1
P0AGG8	3.4.-.-
Q8X8F6	
C4ZUD9	
P0A836	6.2.1.5
P75853	
P0AG25	3.1.7.2
P0AG24	2.7.6.5; 3.1.7.2
P60652	3.5.3.11
P32143	2.7.1.184
P0A7F6	4.1.1.50
C4ZQY1	2.3.1.234
B1XG69	2.3.1.234
C4ZYN7	
P15082	
P0AGF1	6.2.1.5
P77522	
P0ACG1	
P0AAH0	7.3.2.1
Q8XCJ9	6.3.1.21
B1XHG2	
B1X6G8	
P0AG55	
P55135	2.1.1.190
P21499	3.1.13.1
P0ACI1	
P0AFY2	
P64561	
P0AAD7	
P64559	
P0AAD6	
B1X9T2	3.1.26.5
Q8X9F0	5.4.99.23
B1X8Q2	2.1.1.173; 2.1.1.264
P0ADR7	2.1.1.186
B1XBT8	
P0AGB3	
P0AG09	5.1.3.1
P0ADZ4	
Q7ADI4	2.8.1.7; 4.4.1.16
C4ZUJ7	
P0AG76	
C1P601	
P58529	
P0AGD1	1.15.1.1
P0AGD2	1.15.1.1
P0A860	5.3.1.1
P14294	5.6.2.1
Q8XCZ2	2.9.1.3
C4ZXN3	
Q8X8P2	1.14.-.-
C4ZRZ5	1.14.-.-
B1X9G8	1.14.-.-
P24188	1.14.-.-
Q8X8W8	6.3.4.19
P52097	6.3.4.19
P18034	
P18035	
P18473	
P41070	
Q05807	
P15068	
P41072	
P32154	2.7.1.202
P42904	2.7.1.-
B1X9S9	
C4ZUH0	
B1X6G6	
P0A9J2	3.1.26.-
P37634	2.1.1.266
Q8XDB2	2.1.1.173; 2.1.1.264
B1X631	2.1.1.177
B1XEU8	3.1.2.12
C5A096	
B1XBE8	
P0AFY0	
Q8XCL9	2.1.1.178
C4ZVQ3	4.3.1.18
P0A9T2	1.1.1.95; 1.1.1.399
P66828	1.15.1.1
P31122	
P0A8R6	
P0C093	
P0ABW5	
P77249	
P76053	3.1.-.-
P0ABV0	
P0ABU9	
P0ABV8	
P0A828	
P0AAI2	7.6.2.14
P75851	
Q8XDZ4	
P60342	5.4.99.25
P60340	5.4.99.25
C4ZTV3	4.2.1.20
B1XBK9	4.2.1.20
P32138	3.2.1.199
P65845	5.4.99.12
P18310	
P0AFZ1	
P0AGD7	
P0AAX6	
Q8X8V9	
Q8X5R9	
Q8X649	2.7.1.35
P0A799	2.7.2.3
C4ZYC2	
C4ZX51	6.3.2.6
P0A7J1	4.1.99.12
P37748	
P0A7X6	
Q8X8J3	5.4.99.24
P0AA39	5.4.99.24
P00452	1.17.4.1
B1XE39	
P0ACS7	
B1X6G3	
B1XD38	
P68681	
P0A7U9	
P0A812	3.6.4.12
P13458	
P0AAH6	
P0A822	2.9.1.1
B1XFY7	
P13970	
Q7ADI5	
Q8XA49	6.1.1.5
C4ZYH6	6.1.1.20
P0AA48	
P00914	4.1.99.3
C4ZZI8	
P32676	2.7.1.202
P0AAV5	3.5.2.9
P60725	
P60723	
P16916	
P0AG36	
P27128	2.4.1.44
P0AG34	
P0AG38	
Q57154	
P77732	
P76470	
P61175	
P0AG53	
Q8XE69	
P42596	2.1.1.174
P0AC43	1.3.5.1
B1XBN7	3.1.13.1
P31667	3.1.21.-
C4ZUH6	
B1X6H2	
C4ZUF1	
P0A7V8	
B1X6F8	
C4ZQE4	3.6.4.12
P0AFX5	
C5A1F5	3.6.1.-
P58041	
P58042	
B1X9N9	4.3.1.18
Q8X5W3	2.7.7.-; 2.7.7.n1
P0AGK0	6.1.1.1
C4ZYI1	6.1.1.3
P08957	2.1.1.72
P07813	6.1.1.4
Q8XAF1	2.7.2.15
P13656	3.2.1.14; 3.2.1.17
B1XDP6	
P0A6I9	2.7.1.24
P0A6J0	2.7.1.24
P0DM85	
P75975	
B1XAY6	
P38134	2.7.10.-
P76298	
Q8XED4	
B1X6E0	2.1.2.9
P77279	7.2.2.-
Q8XCN9	2.3.1.16
P0ACB4	1.3.5.3
P0A8S9	
P69933	
P46118	
C4ZX71	
B1XAX1	
P69931	
C4ZTM8	
P38135	6.2.1.-
Q8X8I2	4.2.1.17; 5.1.2.3; 5.3.3.8; 1.1.1.35
P37009	7.2.2.7
Q8X6R5	5.3.1.25
Q8XAT5	3.6.1.40
P25746	
C4ZS72	
C4ZTQ1	1.2.1.70
B1XA42	
B1XAQ1	1.2.1.70
P0ABR6	1.14.12.19
Q47141	
Q47142	
C4ZQN7	3.1.2.-; 3.5.1.-; 3.5.1.124
C4ZSB0	2.6.1.9
P0AD62	2.7.1.40
P0A6Y7	
P0ABT0	2.7.7.7
P0ABS8	2.7.7.7
P60955	2.5.1.145
P0A727	3.5.1.108
C4ZRJ1	3.5.1.108
B1XC73	3.5.1.108
P0A725	3.5.1.108
P0ACJ2	
P0ACJ0	
Q8XDF7	1.1.-.-
C4ZXJ7	1.1.-.-
B1X8M0	1.1.-.-
P33232	1.1.-.-
Q8X5I5	2.3.2.6
C4ZQ11	2.3.2.6
B1X825	2.3.2.6
P39400	1.1.1.414
P39399	
P0A8P1	2.3.2.6
P39398	
P65254	
P33231	
P0ACL7	
Q38162	
P0AC82	4.4.1.5
P0AC81	4.4.1.5
P37339	1.1.5.13
P0ACH6	
P0ACH5	
P31121	
P0AEZ0	
P0AEY8	
Q7ADY8	
B1XEB6	
P0AEY1	
P0AE20	3.4.11.18
P0AE18	3.4.11.18
P23917	2.7.1.4
P0ABB0	7.1.2.2
P0AB99	
P17444	1.1.99.1; 1.2.1.8
P0A901	
P0ABE8	
P0AE98	
P0AE77	2.7.1.156; 2.7.7.62
P21156	2.7.7.4
P08550	
P0A6L2	4.3.3.7
P24228	3.4.16.4; 3.4.21.-
P0ACN9	
P77790	3.4.13.22
P0AC90	4.2.1.47
P39835	
Q8XEG2	2.6.1.16
P0A6S7	1.1.1.94
P0AC57	
Q8X4V5	5.4.3.8
P0AES4	5.6.2.2
B1X9Y2	
P0ACB7	
P0ACE5	
P0ACE3	
P0A6X2	1.2.1.70
Q8FI27	
C4ZXA2	
C4ZXA1	
P36645	
P65813	3.4.24.-
P75867	3.4.21.-
P0AD98	
P0AD96	
B1XB98	3.4.25.2
Q8XD89	6.5.1.2
C4ZXN9	6.5.1.2
B1X980	6.5.1.2
P25772	6.5.1.2
P60718	2.8.1.8
C4ZWB5	2.8.1.8
P65323	2.3.1.191
P60716	2.8.1.8
P21645	2.3.1.191
P0AEY5	1.6.5.10
P0AEY0	
P0AEX9	
P27245	
Q7A937	
P02916	
P68185	
P68183	
P18811	
P68188	7.5.2.1
P68187	7.5.2.1
P03841	
P15977	2.4.1.25
P00946	5.3.1.8
Q8X902	4.4.1.21
C4ZYT7	4.4.1.21
B1XCM0	4.4.1.21
P45578	4.4.1.21
Q8X701	
P08997	2.3.3.9
C4ZVX0	
B1X764	
P0AE73	
P06993	
O85343	5.4.2.8
P24175	5.4.2.8
P0AE71	3.1.27.-
Q8X7P1	2.7.7.13
O85342	2.7.7.13
P24174	2.7.7.13
P23256	4.4.1.13
P37677	2.7.1.-; 2.7.1.53
P0AEY4	3.6.1.8
P21517	3.2.1.20
P0AEY3	3.6.1.8
P0AEW2	1.-.-.-
P77329	1.-.-.-
P77423	
P77668	1.-.-.-
Q8XD58	5.3.3.2
Q46822	5.3.3.2
P77625	3.1.3.22; 3.1.3.50; 3.1.3.23
P0AEV9	3.4.23.51
P0A8S3	
P18032	
P30859	
P0A6E1	2.7.1.71
B1XF62	
P69330	
P36560	
B1XAT9	2.7.8.-
C4ZU97	2.1.2.13; 1.1.1.305
P25550	
P39163	4.3.2.7
C4ZUE1	3.5.1.88
P0ABK6	2.5.1.47
P0ACZ3	3.1.3.48
P0AEK2	1.1.1.100
P0A8G9	3.1.11.6
P39176	2.-.-.-
P07822	
C5A082	
P0AEK8	
P0AEL5	
P0AC94	
B1XFR2	4.99.1.1
P0AES9	
P06986	2.6.1.9
P0ACV2	2.3.1.242
P06987	3.1.3.15; 4.2.1.19
Q9S5G5	3.1.3.15; 4.2.1.19
P76102	
P0CE51	
Q8X680	1.14.13.127
P62623	1.17.7.4
Q8X9F8	
B1X6M9	
C4ZXV5	4.6.1.17
P58221	2.7.7.77
P31069	
P09833	7.3.2.5
P09348	
P0AF07	
P0AF06	
Q8X7U4	
P0A9F1	
P0A771	
Q8X735	2.8.1.13
B1XA43	2.8.1.13
C4ZVS8	
B1X9R3	
P0DKB3	
Q8XA45	4.2.2.n1
P0A769	
B1XB33	4.2.2.n1
P94777	2.4.2.-
P58496	2.4.2.-
P59245	2.4.2.-
P25745	2.8.1.13
P0AGC5	4.2.2.n1
P0A9G9	
P0A9G8	
P31060	
P12282	2.7.7.80
C4ZVI3	1.2.1.19; 1.2.1.-
Q8X9W5	1.2.1.19; 1.2.1.-
B1XD54	2.1.3.15
Q8X5W0	7.6.2.8
Q8XA39	2.7.8.7
B1XHL3	
P0AC29	6.3.3.2
Q8X9E0	
Q7A9L5	3.5.4.2
P77425	3.5.3.9
P77555	1.1.1.350
P0AE08	1.11.1.26
P0DSH2	
P0ACR1	
P37685	1.2.1.4
Q8XDZ8	3.1.3.-
B1X8W5	3.1.3.-
P32705	
P60061	
P33234	
P0ACK4	
Q8XD38	3.1.1.-
C4ZUT0	3.1.1.-
P0A6A8	
P0AEC3	2.7.13.3
C4ZYA3	2.7.1.170
C4ZPW1	
B1XBG0	
P58541	2.7.1.16
P0AE26	
C4ZPX6	
P0AE30	
B1XBG5	
Q46901	
P19931	
P0A6B9	2.8.1.7
B1XB03	
P0CF41	
P0CF28	
P0CE49	
P0ACH8	
P58256	1.1.1.86
C4ZPX3	
P69442	2.7.4.3
P03959	
P0A740	4.6.1.17
P38393	
P0A712	
P0A974	
P0ADP6	
P0ADP5	
C4ZT97	
B1X9V8	2.7.7.23; 2.3.1.157
C4ZXK0	1.1.1.94
C4ZQX0	2.7.7.89; 2.7.7.42
P27249	2.7.7.59; 3.1.4.-
P62620	1.17.7.3
P0A6W7	
P39347	
Q8X6V9	
C4ZX82	6.3.5.2
P60664	4.3.2.10
P32131	1.3.98.3
P0AET0	
P0CI31	1.3.1.87
B1XG57	2.7.1.167; 2.7.7.70
P11072	
P22731	
P0A9S8	
P0A9S7	
P0AEX8	
P0AEX7	
P04816	
P22729	
Q8XDH0	2.7.1.130
C4ZQ41	2.7.1.130
B1X855	2.7.1.130
P27300	2.7.1.130
C5A099	3.4.25.2
P28630	2.7.7.7
P0AEW1	1.-.-.-
P77437	1.-.-.-
P77453	1.-.-.-
P30147	5.3.1.22
P0AAP5	
B1X9Z0	1.1.1.86
P0CE52	
P0CF40	
P0CF84	
Q9JMT3	
C4ZPV5	1.17.7.4
B1X7B3	4.6.1.17
P0A3L9	2.7.1.21
P32173	2.7.7.77
P25522	3.6.-.-
P64605	
P0AB76	4.1.2.40
P37005	2.1.1.-
Q8XAW9	
B1XDY3	
P52086	3.1.3.73
Q8X7X4	2.7.7.4
Q8X7U3	1.8.4.8
Q8XB55	
P0A6Y8	
P0ABP8	2.4.2.1
P0AFS3	1.5.1.50; 1.5.1.3
P66818	
P00582	2.7.7.7
P39276	
P32695	1.3.1.-; 1.3.1.91
P0A8H1	3.1.11.6
B1XBT4	
P0AEJ2	5.4.4.2
P19925	2.7.8.-
Q8X900	6.3.2.2
P0ADI4	6.3.2.14; 3.3.2.1
Q46851	1.1.1.-
P0A8N9	6.3.1.-
P08191	
B1XBG7	
P39264	
P31574	
Q7AHT0	
P58578	6.3.2.3
P04425	6.3.2.3
P0A8T6	
B1X683	
P15030	
P23878	7.2.2.17
P0A6S1	
P0AEP0	5.1.3.29
Q8X6R3	2.7.1.51
P23522	4.1.2.20
P0AEU5	
P0AEU3	
P52094	
Q8X9L0	3.4.24.-
P31474	
P0A9A0	1.16.3.2
C5A1E5	
B1XDQ6	
P08192	6.3.2.12; 6.3.2.17
P0A8Q4	
P77494	
P0A6T2	5.3.1.9
P0AET9	1.1.1.159
P0AEV4	
P0CF50	
P0CF27	
P0CF29	
P0A6I0	2.7.4.25
B1XA08	2.7.4.9
Q8XDR6	6.2.1.3
P0ABB4	7.1.2.2
P15078	
P0A980	
P0A6F7	5.6.1.7
P0AE93	
P0AE91	
Q8XCH4	
B1X757	
P0A6K3	3.5.1.88
P10443	2.7.7.7
C4ZSH9	
P0AB01	
P30130	
Q47146	1.3.8.7; 1.3.8.8
P26648	
P04335	3.1.1.1
B1XB26	2.1.2.1
P0A9C1	1.1.5.3
Q8X8Y6	2.7.7.59; 3.1.4.-
P0AER7	
P0A6W2	3.5.1.2
P75679	
P56979	
Q8X6V6	
B1X6V6	2.4.2.17
B1X6W2	4.3.2.10
Q9S5G4	5.3.1.16
P0A6X3	
B1X6B7	3.1.2.-; 3.5.1.-; 3.5.1.124
B1X953	5.1.3.20
P0AB20	
P45751	
P10423	3.4.11.-
Q47318	6.3.2.39
Q8XCU5	3.6.1.66
P64602	
P13029	1.11.1.21
P37647	2.7.1.45
Q8XAD0	
Q8XA01	4.2.1.33
P62584	
P0ADC1	
C4ZWC8	
P25524	3.5.4.1; 3.5.4.-
P0ABJ6	
Q6BF17	4.2.1.6
P0A6N8	
P0AAJ3	
P26266	
P0A9R4	
P0AEL6	
B1XAK8	4.2.1.17; 5.1.2.3; 5.3.3.8; 1.1.1.35
P32153	3.4.11.-
P0A6T3	2.7.1.6
P77319	
P07109	
P0A998	1.16.3.2
P0AD68	3.4.16.4
B1XDQ7	
P0AC16	4.1.2.25; 5.1.99.8
P05523	3.2.2.23; 4.2.99.18
B1X769	3.4.21.105
Q8X715	
P0DQD7	
P0AER8	
P0AEQ5	
P68688	
C4ZRU9	3.1.2.6
Q9S5G3	3.5.4.19; 3.6.1.31
P09151	2.3.3.13
P0ABW0	
P0CI32	1.3.1.87
Q6BF87	
P0DPD1	
Q6BF25	
P45579	1.1.1.-
P06988	1.1.1.23
C4ZQ92	
P45750	
P0AAJ9	
P0AAK1	
Q8XAV1	4.2.1.9
P46482	
Q8X9E6	
P04395	3.2.2.21
P0A9E1	
P0A9E0	
Q8XA15	3.6.1.41
P76345	
P0ABK8	
P67826	
Q8XBY3	
C4ZUM4	2.1.1.107; 1.3.1.76; 4.99.1.4
P36995	
Q8XE46	
P52599	
Q8XDJ7	4.2.2.n2
P77188	
C4ZTN4	4.2.2.n2
B1XAN4	4.2.2.n2
P0C960	4.2.2.n2
Q8X6I4	
P77802	
Q8X4N4	
P77694	
Q8X6I6	
P77263	
P76552	
Q8XEH3	4.3.1.7
P29018	
P77218	2.3.1.8
P0A6Q8	4.2.1.59
C4ZRS2	4.2.1.59
B1XD49	4.2.1.59
B1XAH3	
P24171	3.4.15.5
P0ABP7	
P0A830	
P0ABX5	
B1XB63	
P39405	
P52613	
P07658	1.17.98.4
P0ABN5	
Q8X5P3	
P06974	
P15286	
Q8XAF5	
P0ACC7	2.7.7.23; 2.3.1.157
Q8X7P7	5.1.3.26
B1X748	
P34749	
P0AAM9	
Q47316	6.3.2.38
C4ZXA6	
P0CF43	
P0AEX3	
P30000	
P0AGF2	
Q59385	7.2.2.8
P36562	2.4.2.21
B1XD17	
P38054	
P0ABJ1	
P58297	
P0A6R5	
P0ABX7	
Q8X8B5	
C4ZSZ7	
P0AEM4	
P0A6P9	4.2.1.11
P0AEK0	3.1.11.-
P0A3B9	2.7.8.-
C5A1E9	6.3.1.-
P60567	
P0AEL8	
C4ZPW8	
P0AEM8	
P07821	7.2.2.16
C4ZQW9	2.7.1.167; 2.7.7.70
P22256	2.6.1.19; 2.6.1.48
P78055	4.1.2.-
P0ABG6	2.4.1.129
P0ACC8	2.7.7.23; 2.3.1.157
P58585	
P0AC62	
P30870	2.7.7.89; 2.7.7.42
P37689	5.4.2.12
P31450	
P0CF07	
P0CF08	
P0CF09	
P0CF10	
P0CF11	
P0CF12	
P19767	
P0CF13	
A0A385XJ53	
P0A7B0	3.6.1.1
P0CF62	
P0CF25	
P0CF63	
P0CF26	
P0CF64	
P0A7A9	3.6.1.1
P0CF55	
P0CF57	
P0CF89	
P0CF90	
P0A9D3	2.5.1.18
P19768	
P0CF91	
P45762	
P0CF93	
P0CE65	
P75969	
P71298	
P45760	
C4ZZ35	
P0ACB9	
P58237	4.3.2.10; 3.5.1.2
P0ABC3	
Q8X736	
P0A6L9	
B1XB02	
P0A6Z2	
P23894	3.4.24.-
P75747	
P76052	3.5.1.-
P0AAF3	7.5.2.12
B1XBC4	2.7.2.8
P0A9Q3	
P0AE22	3.1.3.2
P0DSE4	
B1XEK1	
P69503	2.4.2.7
B1X737	2.7.1.71
P0A6D9	2.7.1.71
P0A6D7	2.7.1.71
B1X9X2	6.3.1.1
B1X8W9	3.5.1.n3
Q8X4J8	
P76474	
B1XG01	4.2.1.10
Q8XDZ3	2.1.2.13; 1.1.1.305
P0AEW5	3.1.4.53
P0ADF8	2.2.1.6
P0ADG1	2.2.1.6
P0ACD6	
P0ACD4	
P0A731	4.2.3.3
B1XGU5	
P69451	6.2.1.3
P60785	3.6.5.n1
Q8XDJ8	3.4.17.13
P43341	3.6.1.54
Q8X8X7	2.4.1.182
P0AD79	
P58319	4.1.2.48
P76558	1.1.1.40
P76190	3.4.-.-
P0A9G0	
P0AFB0	
B1X7H1	
B1X656	2.8.4.3
P0ABS0	1.13.11.16
P0AEZ1	1.5.1.20
P0AF00	
B1X935	2.1.1.61; 1.5.-.-
P0AF02	
Q47689	
P64604	
P0AE47	
P58523	1.5.3.-
P0A7B3	2.7.1.23
P77245	
B1XA98	
P17443	2.4.1.227
B1XC01	3.1.21.7
Q8XBX8	2.4.1.-
P0A8D0	
P77211	
P16869	
P77463	
P37195	
P0A6J7	1.4.99.-
P0ABY0	
